Name,Genus,Species,Kingdom,Subphylum,Class,Order,Family,Attributes
Yungas antwren,Myrmotherula,Myrmotherula grisea,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Aldabra white-eye,Zosterops,Zosterops aldabrensis,Animalia,0,Aves,Passeriformes,Zosteropidae,starts with
Rufous-crested tanager,Creurgops,Creurgops verticalis,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Scaled woodcreeper,Lepidocolaptes,Lepidocolaptes squamatus,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
White-rumped triller,Lalage,Lalage leucopygialis,Animalia,0,Aves,Passeriformes,Campephagidae,"Terrestrial,Not a migrant,starts with"
Banggai jungle flycatcher,Cyornis,Cyornis pelingensis,Animalia,0,Aves,Passeriformes,Muscicapidae,starts with
Hangnest tody-tyrant,Hemitriccus,Hemitriccus nidipendulus,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Tawny-crowned pygmy tyrant,Euscarthmus,Euscarthmus meloryphus,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Migrating,starts with"
Príncipe speirops,Zosterops,Zosterops leucophaeus,Animalia,0,Aves,Passeriformes,Zosteropidae,"Terrestrial,Not a migrant,starts with"
River tyrannulet,Serpophaga,Serpophaga hypoleuca,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Rufous-cheeked tanager,Tangara,Tangara rufigenis,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
White-shouldered antbird,Akletos,Percnostola melanoceps,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Yungas tyrannulet,Phyllomyias,Phyllomyias weedeni,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Louisiade whistler,Pachycephala,Pachycephala collaris,Animalia,0,Aves,Passeriformes,Pachycephalidae,starts with
Grey-headed cuckooshrike,Edolisoma,Edolisoma schisticeps,Animalia,0,Aves,Passeriformes,Campephagidae,"Terrestrial,Not a migrant,starts with"
Palawan striped babbler,Zosterornis,Zosterornis hypogrammicus,Animalia,0,Aves,Passeriformes,Zosteropidae,"Terrestrial,Not a migrant,starts with"
Hooded gnateater,Conopophaga,Conopophaga roberti,Animalia,0,Aves,Passeriformes,Conopophagidae,"Terrestrial,Not a migrant,starts with"
Rufous-sided gerygone,Gerygone,Gerygone dorsalis,Animalia,0,Aves,Passeriformes,Acanthizidae,"Terrestrial,Not a migrant,starts with"
Straw-backed tanager,Tangara,Stilpnia argyrofenges,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Streak-breasted fantail,Rhipidura,Rhipidura dedemi,Animalia,0,Aves,Passeriformes,Rhipiduridae,"Terrestrial,Not a migrant,starts with"
Falkenstein's greenbul,Chlorocichla,Chlorocichla falkensteini,Animalia,0,Aves,Passeriformes,Pycnonotidae,"Terrestrial,Not a migrant,starts with"
Tschudi's tapaculo,Scytalopus,Scytalopus acutirostris,Animalia,0,Aves,Passeriformes,Rhinocryptidae,"Terrestrial,Not a migrant,starts with"
Grey-bellied flowerpiercer,Diglossa,Diglossa carbonaria,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Plain-winged antwren,Myrmotherula,Myrmotherula behni,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Red-and-white spinetail,Certhiaxis,Certhiaxis mustelinus,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
