Name,Genus,Species,Kingdom,Subphylum,Class,Order,Family,Attributes
Grey Wolf,Canis,Canis lupus,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Nocturnal,Carnivore,Scavenger,Terrestrial,Cursorial,Altricial,Pack hunters,Apex predator,Pursuit predator,Nomadic,Territorial,Viviparous,Pack hunters,Ambush predator,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with,Dangerous Animals"
Tiger,Panthera,Panthera tigris,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Carnivore,Cursorial,Terrestrial,Ambush predator,Altricial,Nomadic,Territorial,Viviparous,Apex predator,Polygyny,Solitary,Dominance hierarchy,Not a migrant,starts with,Camouflaged Animals,Dangerous Animals,Giant Animals"
Brown Bear,Ursus,Ursus arctos,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,"Crepuscular,Omnivore,Terrestrial,Altricial,Nomadic,Territorial,Burrowing,Polygynandry,Serial monogamy,Dangerous,Solitary,Hibernating,Migrating,starts with,Lucky Animals,Canada Province Animals"
Blue Whale,Balaenoptera,Balaenoptera musculus,Animalia,Vertebrata,Mammalia,Artiodactyla,Balaenopteridae,"Carnivore,Piscivores,Aquatic,Precocial,Natatorial,Viviparous,Cosmopolitan,Pursuit predator,Monogamy,Generally solitary,Migrating,starts with,Giant Animals"
Killer Whale,Orcinus,Orcinus orca,Animalia,Vertebrata,Mammalia,Artiodactyla,Delphinidae,"Diurnal,Carnivore,Aquatic,Precocial,Cosmopolitan,Natatorial,Territorial,Viviparous,Apex predator,Pursuit predator,Polygynandry,Highly social,Partial Migrant,starts with,Vicious Animals,Black And White Animals"
Giant Panda,Ailuropoda,Ailuropoda melanoleuca,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,"Crepuscular,Nocturnal,Herbivore,Folivore,Terrestrial,Altricial,Browsing,Zoochory,Viviparous,Polygyny,Solitary,Not a migrant,starts with,Cute Animals,Black And White Animals"
Lion,Panthera,Panthera leo,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Crepuscular,Diurnal,Scavenger,Hypercarnivore,Terrestrial,Altricial,Pack hunters,Ambush predator,Apex predator,Nomadic,Territorial,Viviparous,Polygyny,Dominance hierarchy,Highly social,Social,Not a migrant,starts with,Aristocrats,Fast Animals"
Koala,Phascolarctos,Phascolarctos cinereus,Animalia,Vertebrata,Mammalia,Diprotodontia,Phascolarctidae,"Nocturnal,Herbivore,Folivore,Arboreal,Altricial,Terrestrial,Viviparous,Territorial,Polygyny,Solitary,Not a migrant,starts with,Cute Animals,Slow Animals"
Cougar,Puma,Puma concolor,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Carnivore,Terrestrial,Altricial,Ambush predator,Cursorial,Territorial,Viviparous,Apex predator,Polygyny,Solitary,starts with"
Quokka,Setonix,Setonix brachyurus,Animalia,Vertebrata,Mammalia,Diprotodontia,Macropodidae,"Nocturnal,Herbivore,Folivore,Frugivore,Terrestrial,Jumping,Altricial,Browsing,Island endemic,Viviparous,Arboreal,Polygynandry,Social,Not a migrant,starts with,Cute Animals"
Jaguar,Panthera,Panthera onca,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Crepuscular,Carnivore,Terrestrial,Altricial,Territorial,Polygyny,Solitary,Not a migrant,starts with"
Horse,Perissodactyla,Equidae,Przewalski's Horse,Animalia,Chordata,Vertebrata,Mammalia,"Viviparous,Precocial,Social,Herding,Dominance hierarchy,Domesticated,starts with"
Raccoon,Procyon,Procyon lotor,Animalia,Vertebrata,Mammalia,Carnivora,Procyonidae,"Nocturnal,Crepuscular,Omnivore,Terrestrial,Altricial,Burrowing,Arboreal,Scansorial,Viviparous,Polygynandry,Social,Not a migrant,starts with,Smart Animals"
Polar Bear,Ursus,Ursus maritimus,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,"Diurnal,Carnivore,Scavenger,Terrestrial,Altricial,Natatorial,Nomadic,Apex predator,Burrowing,Aquatic,Polygyny,Dangerous,Solitary,Hibernating,starts with,Canada Province Animals,Giant Animals,Snow White"
Cheetah,Acinonyx,Acinonyx jubatus,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Diurnal,Carnivore,Terrestrial,Cursorial,Altricial,Territorial,Viviparous,Pursuit predator,Ambush predator,Nomadic,Polygyny,Social,Solitary,Not a migrant,starts with,Spotted Animals,Fast Animals"
Platypus,Ornithorhynchus,Ornithorhynchus anatinus,Animalia,Vertebrata,Mammalia,Monotremata,Ornithorhynchidae,"Nocturnal,Crepuscular,Carnivore,Semiaquatic,Altricial,Fossorial,Natatorial,Territorial,Oviparous,Burrowing,Polygynandry,Venomous,Solitary,Not a migrant,starts with,Weird Animals"
Coyote,Canis,Canis latrans,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Crepuscular,Diurnal,Carnivore,Scavenger,Terrestrial,Cursorial,Altricial,Territorial,Viviparous,Burrowing,Pack hunters,Monogamy,Dominance hierarchy,Highly social,starts with,U.S. States Animals"
Moose,Alces,Alces alces,Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,"Diurnal,Herbivore,Folivore,Lignivore,Terrestrial,Precocial,Browsing,Cursorial,Viviparous,Polygamy,Solitary,Dominance hierarchy,Partial Migrant,starts with,Canada Province Animals,Best Horns"
Bobcat,Lynx,Lynx rufus,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Crepuscular,Carnivore,Scavenger,Terrestrial,Cursorial,Mesopredator,Territorial,Viviparous,Ambush predator,Polygynandry,Solitary,Dominance hierarchy,Not a migrant,starts with,U.S. States Animals"
Leopard,Panthera,Panthera pardus,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Carnivore,Terrestrial,Arboreal,Altricial,Ambush predator,Apex predator,Cursorial,Territorial,Viviparous,Polygynandry,Solitary,Not a migrant,starts with,Spotted Animals,Aristocrats,Dangerous Animals"
Narwhal,Monodon,Monodon monoceros,Animalia,Vertebrata,Mammalia,Artiodactyla,Monodontidae,"Carnivore,Piscivores,Aquatic,Precocial,Natatorial,Congregatory,Viviparous,Polygyny,Social,Dominance hierarchy,Migrating,starts with,Weird Animals"
Common Hippo,Hippopotamus,Hippopotamus amphibius,Animalia,Vertebrata,Mammalia,Artiodactyla,Hippopotamidae,"Nocturnal,Herbivore,Graminivore,Semiaquatic,Precocial,Grazing,Natatorial,Territorial,Viviparous,Congregatory,Polygyny,Dangerous,Dominance hierarchy,Highly social,Not a migrant,starts with,Long-Lived Animals,Dangerous Animals,Giant Animals"
Wolverine,Gulo,Gulo gulo,Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae,"Nocturnal,Carnivore,Scavenger,Terrestrial,Altricial,Viviparous,Burrowing,Predator,Polygyny,Solitary,Not a migrant,starts with,Vicious Animals,Canada Province Animals,Fluffy Animals"
Red Panda,Ailurus,Ailurus fulgens,Animalia,Vertebrata,Mammalia,Carnivora,Ailuridae,"Nocturnal,Crepuscular,Herbivore,Folivore,Arboreal,Altricial,Terrestrial,Viviparous,Territorial,Polygynandry,Solitary,Altitudinal Migrant,starts with,Cute Animals,Fluffy Animals"
Dingo,Canis,Canis dingo,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Crepuscular,Nocturnal,Carnivore,Scavenger,Terrestrial,Altricial,Pack hunters,Cursorial,Apex predator,Pursuit predator,Territorial,Pack hunters,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with"
Capybara,Hydrochoerus,Hydrochoerus hydrochaeris,Animalia,Vertebrata,Mammalia,Rodentia,Caviidae,"Crepuscular,Herbivore,Folivore,Coprophage,Lignivore,Precocial,Grazing,Natatorial,Territorial,Viviparous,Semiaquatic,Polygyny,Dominance hierarchy,Highly social,Not a migrant,starts with,Cute Animals"
Tasmanian Devil,Sarcophilus,Sarcophilus harrisii,Animalia,Vertebrata,Mammalia,Dasyuromorphia,Dasyuridae,"Nocturnal,Crepuscular,Carnivore,Scavenger,Terrestrial,Altricial,Viviparous,Arboreal,Territorial,Ambush predator,Apex predator,Pursuit predator,Polygynandry,Solitary,Not a migrant,starts with,Vicious Animals,Slow Animals"
Domestic Guinea Pig,Cavia,Cavia porcellus,Animalia,Vertebrata,Mammalia,Rodentia,Caviidae,"Crepuscular,Herbivore,Folivore,Frugivore,Terrestrial,Precocial,Grazing,Social,Not a migrant,Domesticated,starts with"
Alpaca,Vicugna,Vicugna pacos,Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,"Diurnal,Herbivore,Graminivore,Terrestrial,Precocial,Grazing,Nomadic,Viviparous,Territorial,Polygyny,Social,Herding,Dominance hierarchy,Not a migrant,starts with,Fluffy Animals"
Domestic Sheep,Ovis,Ovis aries,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,"Diurnal,Herbivore,Graminivore,Terrestrial,Grazing,Precocial,Viviparous,Polygyny,Herding,Social,Dominance hierarchy,Not a migrant,Domesticated,starts with"
American Bison,Bison,Bison bison,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,"Diurnal,Herbivore,Graminivore,Terrestrial,Cursorial,Precocial,Grazing,Nomadic,Congregatory,Viviparous,Polygyny,Dangerous,Social,Herding,Dominance hierarchy,Migrating,starts with,Lucky Animals,U.S. States Animals,Canada Province Animals,Dangerous Animals"
Bonobo,Pan,Pan paniscus,Animalia,Vertebrata,Mammalia,Primates,Hominidae,"Diurnal,Frugivore,Herbivore,Terrestrial,Arboreal,Zoochory,Polygynandry,Social,Dominance hierarchy,Not a migrant,starts with"
Honey Badger,Mellivora,Mellivora capensis,Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae,"Nocturnal,Carnivore,Terrestrial,Altricial,Burrowing,Viviparous,Predator,Polygyny,Solitary,Dominance hierarchy,Not a migrant,starts with,Black And White Animals"
Goat,Bovidae,Caprinae,Wild Goat,Animalia,Chordata,Vertebrata,Mammalia,starts with
Donkey,Perissodactyla,Equidae,African Wild Ass,Animalia,Chordata,Vertebrata,Mammalia,"Diurnal,Herbivore,Terrestrial,Precocial,Grazing,Polygyny,Social,Not a migrant,starts with"
Bengal tiger,Feliformia,Felidae,Tiger,Animalia,Chordata,Vertebrata,Carnivora,"Terrestrial,starts with"
Llama,Lama,Lama glama,Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,"Diurnal,Herbivore,Folivore,Terrestrial,Cursorial,Territorial,Viviparous,Precocial,Browsing,Polygyny,Dominance hierarchy,Not a migrant,starts with"
Wild Boar,Sus,Sus scrofa,Animalia,Vertebrata,Mammalia,Artiodactyla,Suidae,"Nocturnal,Crepuscular,Omnivore,Terrestrial,Precocial,Cosmopolitan,Polygyny,Social,Not a migrant,Wild,starts with"
Red Fox,Vulpes,Vulpes vulpes,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Crepuscular,Nocturnal,Omnivore,Scavenger,Terrestrial,Altricial,Territorial,Viviparous,Burrowing,Predator,Bright,Cute,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with,Canada Province Animals,Fluffy Animals"
Groundhog,Marmota,Marmota monax,Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,"Diurnal,Herbivore,Folivore,Graminivore,Terrestrial,Altricial,Fossorial,Zoochory,Nomadic,Territorial,Viviparous,Burrowing,Torpor,Polygyny,Solitary,Dominance hierarchy,Hibernating,Not a migrant,starts with"
Snow Leopard,Panthera,Uncia uncia,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Crepuscular,Carnivore,Cursorial,Terrestrial,Pursuit predator,Altricial,Viviparous,Polygyny,Solitary,Altitudinal Migrant,starts with,Leopard In The Name,Fluffy Animals"
Raccoon Dog,Nyctereutes,Nyctereutes procyonoides,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Nocturnal,Diurnal,Omnivore,Terrestrial,Altricial,Burrowing,Zoochory,Natatorial,Viviparous,Predator,Monogamy,Social,Hibernating,starts with,Cute Animals,Fluffy Animals"
American Black Bear,Ursus,Ursus americanus,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,"Nocturnal,Crepuscular,Omnivore,Scavenger,Terrestrial,Altricial,Nomadic,Territorial,Viviparous,Arboreal,Polygyny,Solitary,Dominance hierarchy,Hibernating,Not a migrant,starts with,U.S. States Animals"
Meerkat,Suricata,Suricata suricatta,Animalia,Vertebrata,Mammalia,Carnivora,Herpestidae,"Diurnal,Insectivores,Carnivore,Terrestrial,Altricial,Burrowing,Predator,Viviparous,Monogamy,Polygyny,Social,Colonial,Dominance hierarchy,Not a migrant,starts with,Cute Animals,Tiny Animals"
African Wild Dog,Lycaon,Lycaon pictus,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Diurnal,Carnivore,Scavenger,Terrestrial,Cursorial,Pursuit predator,Pack hunters,Altricial,Nomadic,Viviparous,Territorial,Apex predator,Pack hunters,Monogamy,Dominance hierarchy,Highly social,Not a migrant,starts with,Vicious Animals"
Fisher,Pekania,Pekania pennanti,Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae,"Crepuscular,Omnivore,Terrestrial,Arboreal,Altricial,Scansorial,Territorial,Viviparous,Predator,Solitary,Not a migrant,starts with,Canada Province Animals,Fluffy Animals"
Walrus,Odobenus,Odobenus rosmarus,Animalia,Vertebrata,Mammalia,Carnivora,Odobenidae,"Diurnal,Carnivore,Molluscivore,Scavenger,Semiaquatic,Precocial,Natatorial,Terrestrial,Congregatory,Viviparous,Predator,Polygyny,Colonial,Dominance hierarchy,Highly social,Not a migrant,starts with,Canada Province Animals"
Domesticated Ferret,Mustelidae,Mustelinae,European Polecat,Animalia,Chordata,Vertebrata,Carnivora,"Crepuscular,Carnivore,Terrestrial,Altricial,Burrowing,Polygyny,Social,Not a migrant,Domesticated,starts with"
Beluga Whale,Delphinapterus,Delphinapterus leucas,Animalia,Vertebrata,Mammalia,Artiodactyla,Monodontidae,"Diurnal,Carnivore,Molluscivore,Piscivores,Aquatic,Precocial,Nomadic,Congregatory,Viviparous,Predator,Polygyny,Social,Migrating,starts with,Canada Province Animals,Snow White"
Reindeer,Rangifer,Rangifer tarandus,Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,"Diurnal,Herbivore,Folivore,Graminivore,Terrestrial,Cursorial,Precocial,Grazing,Viviparous,Polygyny,Herding,Social,Dominance hierarchy,Migrating,Domesticated,starts with,Travelers ,Canada Province Animals,Best Horns"
Elk,Cervus,Cervus canadensis,Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,"Crepuscular,Herbivore,Folivore,Graminivore,Lignivore,Terrestrial,Cursorial,Precocial,Browsing,Grazing,Viviparous,Polygyny,Social,Herding,Dominance hierarchy,Altitudinal Migrant,starts with,Best Horns"
Ocelot,Leopardus,Leopardus pardalis,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Crepuscular,Carnivore,Terrestrial,Arboreal,Cursorial,Altricial,Scansorial,Territorial,Polygyny,Solitary,Not a migrant,starts with"
Coypu,Myocastor,Myocastor coypus,Animalia,Vertebrata,Mammalia,Rodentia,Echimyidae,"Nocturnal,Herbivore,Folivore,Semiaquatic,Precocial,Burrowing,Grazing,Natatorial,Territorial,Terrestrial,Viviparous,Polygyny,Social,Not a migrant,starts with"
Sugar Glider,Petaurus,Petaurus breviceps,Animalia,Vertebrata,Mammalia,Diprotodontia,Petauridae,"Nocturnal,Omnivore,Arboreal,Altricial,Gliding,Torpor,Polygyny,Highly social,Colonial,Not a migrant,starts with,Gliding Animals"
Common Chimpanzee,Pan,Pan troglodytes,Animalia,Vertebrata,Mammalia,Primates,Hominidae,"Diurnal,Omnivore,Arboreal,Altricial,Browsing,Zoochory,Terrestrial,Territorial,Viviparous,Polygyny,Social,Dominance hierarchy,Not a migrant,starts with,Smart Animals"
Serval,Leptailurus,Leptailurus serval,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Crepuscular,Carnivore,Terrestrial,Territorial,Polygyny,Polygamy,Solitary,Not a migrant,starts with"
Bush Rat,Rattus,Rattus fuscipes,Animalia,Vertebrata,Mammalia,Rodentia,Muridae,"Nocturnal,Omnivore,Terrestrial,Altricial,Burrowing,Viviparous,Nomadic,Solitary,Not a migrant,starts with"
Okapi,Okapia,Okapia johnstoni,Animalia,Vertebrata,Mammalia,Artiodactyla,Giraffidae,"Diurnal,Herbivore,Folivore,Terrestrial,Precocial,Cursorial,Nomadic,Viviparous,Browsing,Territorial,Polygyny,Solitary,Dominance hierarchy,Not a migrant,starts with,Weird Animals"
Humpback Whale,Megaptera,Megaptera novaeangliae,Animalia,Vertebrata,Mammalia,Artiodactyla,Balaenopteridae,"Diurnal,Carnivore,Piscivores,Planktivore,Aquatic,Precocial,Predator,Natatorial,Territorial,Viviparous,Polygyny,Social,Migrating,starts with,Travelers "
Caracal,Caracal,Caracal caracal,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Carnivore,Terrestrial,Cursorial,Territorial,Viviparous,Altricial,Predator,Polygynandry,Solitary,Not a migrant,starts with"
Arctic Fox,Vulpes,Vulpes lagopus,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Diurnal,Omnivore,Scavenger,Terrestrial,Altricial,Predator,Burrowing,Nomadic,Viviparous,Monogamy,Solitary,Social,Not a migrant,starts with,Cute Animals,Canada Province Animals,Snow White"
Fennec Fox,Vulpes,Vulpes zerda,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Crepuscular,Omnivore,Terrestrial,Altricial,Territorial,Viviparous,Burrowing,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with,Cute Animals"
Muskart,Ondatra,Ondatra zibethicus,Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,"Crepuscular,Nocturnal,Herbivore,Altricial,Territorial,Viviparous,Burrowing,Semiaquatic,Polygynandry,Social,Not a migrant,starts with"
Kodiak bear,Caniformia,Ursidae,Brown Bear,Animalia,Chordata,Vertebrata,Carnivora,starts with
Asian Lion,Feliformia,Felidae,Lion,Animalia,Chordata,Vertebrata,Carnivora,"Nocturnal,Carnivore,Scavenger,Terrestrial,Altricial,Ambush predator,Apex predator,Viviparous,Polygyny,Social,Dominance hierarchy,Not a migrant,starts with"
Ermine,Mustela,Mustela erminea,Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae,"Nocturnal,Crepuscular,Carnivore,Terrestrial,Altricial,Territorial,Viviparous,Burrowing,Predator,Polygynandry,Solitary,Not a migrant,starts with,Cute Animals,Snow White"
Japanese raccoon dog,Caniformia,Canidae,Raccoon Dog,Animalia,Chordata,Vertebrata,Carnivora,"Nocturnal,starts with"
Pronghorn,,Antilocapra americana,Animalia,Vertebrata,Mammalia,Artiodactyla,Antilocapridae,"Diurnal,Nocturnal,Herbivore,Folivore,Cursorial,Terrestrial,Territorial,Congregatory,Viviparous,Precocial,Browsing,Grazing,Polygamy,Herding,Dominance hierarchy,Social,Migrating,starts with,Fast Animals"
White-Tailed Deer,Odocoileus,Odocoileus virginianus,Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,"Crepuscular,Herbivore,Terrestrial,Cursorial,Browsing,Grazing,Precocial,Viviparous,Congregatory,Polygyny,Generally solitary,Dominance hierarchy,Migrating,starts with,U.S. States Animals"
Sea Otter,Enhydra,Enhydra lutris,Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae,"Diurnal,Crepuscular,Carnivore,Piscivores,Molluscivore,Semiaquatic,Precocial,Predator,Natatorial,Territorial,Terrestrial,Viviparous,Polygyny,Social,Not a migrant,starts with,Smart Animals"
Water Buffalo,Bubalus,Bubalus bubalis,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,"Diurnal,Nocturnal,Herbivore,Graminivore,Folivore,Terrestrial,Precocial,Grazing,Viviparous,Polygyny,Social,Herding,Dominance hierarchy,Not a migrant,Domesticated,starts with"
Sable,Martes,Martes zibellina,Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae,"Diurnal,Crepuscular,Omnivore,Terrestrial,Altricial,Burrowing,Viviparous,Solitary,Not a migrant,starts with"
Sperm Whale,Physeter,Physeter macrocephalus,Animalia,Vertebrata,Mammalia,Artiodactyla,Physeteridae,"Carnivore,Molluscivore,Aquatic,Precocial,Natatorial,Viviparous,Cosmopolitan,Predator,Polygyny,Social,Dominance hierarchy,Herding,Migrating,starts with,Giant Animals"
Mandrill,Mandrillus,Mandrillus sphinx,Animalia,Vertebrata,Mammalia,Primates,Cercopithecidae,"Diurnal,Omnivore,Arboreal,Terrestrial,Altricial,Zoochory,Viviparous,Polygyny,Social,Dominance hierarchy,Not a migrant,starts with,Colorful Animals"
Spotted Hyena,Crocuta,Crocuta crocuta,Animalia,Vertebrata,Mammalia,Carnivora,Hyaenidae,"Nocturnal,Scavenger,Carnivore,Terrestrial,Cursorial,Precocial,Predator,Territorial,Viviparous,Burrowing,Pack hunters,Pursuit predator,Polygyny,Dangerous,Dominance hierarchy,Highly social,Not a migrant,starts with,Spotted Animals,Dangerous Animals"
Fossa,Cryptoprocta,Cryptoprocta ferox,Animalia,Vertebrata,Mammalia,Carnivora,Eupleridae,"Cathemeral,Carnivore,Arboreal,Terrestrial,Cursorial,Altricial,Island endemic,Scansorial,Territorial,Viviparous,Predator,Polyandry,Solitary,Not a migrant,starts with,Vicious Animals"
White Rhinoceros,Ceratotherium,Ceratotherium simum,Animalia,Vertebrata,Mammalia,Perissodactyla,Rhinocerotidae,"Diurnal,Crepuscular,Herbivore,Graminivore,Folivore,Terrestrial,Precocial,Grazing,Territorial,Viviparous,Polygyny,Social,Dominance hierarchy,Herding,Not a migrant,starts with,Giant Animals"
Domestic Pig,Artiodactyla,Suidae,Wild Boar,Animalia,Chordata,Vertebrata,Mammalia,"Diurnal,Omnivore,Terrestrial,Precocial,Burrowing,Grazing,Monogamy,Social,Herding,Not a migrant,starts with"
Vaquita,Phocoena,Phocoena sinus,Animalia,Vertebrata,Mammalia,Artiodactyla,Phocoenidae,"Carnivore,Piscivores,Aquatic,Precocial,Natatorial,Viviparous,Predator,Polygyny,Social,Not a migrant,starts with"
Binturong,Arctictis,Arctictis binturong,Animalia,Vertebrata,Mammalia,Carnivora,Viverridae,"Nocturnal,Crepuscular,Frugivore,Herbivore,Arboreal,Altricial,Zoochory,Scansorial,Terrestrial,Viviparous,Monogamy,Generally solitary,Not a migrant,starts with"
Gaur,Bos,Bos gaurus,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,"Diurnal,Herbivore,Folivore,Graminivore,Terrestrial,Precocial,Grazing,Browsing,Viviparous,Polygyny,Social,Herding,Dominance hierarchy,Not a migrant,starts with,Giant Animals"
Asian Elephant,Elephas,Elephas maximus,Animalia,Vertebrata,Mammalia,Proboscidea,Elephantidae,"Diurnal,Herbivore,Folivore,Terrestrial,Precocial,Zoochory,Nomadic,Viviparous,Polygyny,Social,Herding,Dominance hierarchy,Not a migrant,starts with,Dangerous Animals"
Aardvark,Orycteropus,Orycteropus afer,Animalia,Vertebrata,Mammalia,Tubulidentata,Orycteropodidae,"Nocturnal,Carnivore,Myrmecophagous,Terrestrial,Altricial,Burrowing,Fossorial,Nomadic,Territorial,Viviparous,Polygyny,Solitary,Not a migrant,starts with,Weird Animals"
Dugong,Dugong,Dugong dugon,Animalia,Vertebrata,Mammalia,Sirenia,Dugongidae,"Herbivore,Graminivore,Aquatic,Precocial,Natatorial,Nomadic,Viviparous,Grazing,Polyandry,Social,Herding,Not a migrant,starts with,Weird Animals"
Asian Palm Civet,Paradoxurus,Paradoxurus hermaphroditus,Animalia,Vertebrata,Mammalia,Carnivora,Viverridae,"Nocturnal,Omnivore,Terrestrial,Arboreal,Altricial,Zoochory,Scansorial,Viviparous,Solitary,Not a migrant,starts with"
Naked Mole-Rat,Heterocephalus,Heterocephalus glaber,Animalia,Vertebrata,Mammalia,Rodentia,Heterocephalidae,"Nocturnal,Diurnal,Herbivore,Terrestrial,Altricial,Fossorial,Burrowing,Viviparous,Polyandry,Social,Colonial,Dominance hierarchy,Not a migrant,starts with,Creepy Animals"
Red Deer,Cervus,Cervus elaphus,Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,"Crepuscular,Herbivore,Folivore,Lignivore,Cursorial,Terrestrial,Precocial,Browsing,Territorial,Viviparous,Polygyny,Herding,Social,Migrating,starts with,Art Of Attraction"
Sloth Bear,Melursus,Melursus ursinus,Animalia,Vertebrata,Mammalia,Carnivora,Ursidae,"Nocturnal,Omnivore,Myrmecophagous,Terrestrial,Altricial,Zoochory,Viviparous,Territorial,Arboreal,Dangerous,Generally solitary,Not a migrant,starts with,Dangerous Animals"
House Mouse,Mus,Mus musculus,Animalia,Vertebrata,Mammalia,Rodentia,Muridae,"Nocturnal,Omnivore,Terrestrial,Altricial,Cosmopolitan,Cursorial,Territorial,Viviparous,Polygyny,Dominance hierarchy,Social,Not a migrant,starts with"
Giant Golden-Crowned Flying Fox,Acerodon,Acerodon jubatus,Animalia,Vertebrata,Mammalia,Chiroptera,Pteropodidae,"Nocturnal,Frugivore,Herbivore,Folivore,Arboreal,Altricial,Zoochory,Island endemic,Congregatory,Viviparous,Gliding,Social,Colonial,Not a migrant,starts with,Giant Animals"
Muskox,Ovibos,Ovibos moschatus,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,"Diurnal,Herbivore,Folivore,Graminivore,Terrestrial,Precocial,Grazing,Zoochory,Viviparous,Browsing,Polygyny,Social,Herding,Dominance hierarchy,Not a migrant,Domesticated,starts with,Canada Province Animals"
Brown Rat,Rattus,Rattus norvegicus,Animalia,Vertebrata,Mammalia,Rodentia,Muridae,"Nocturnal,Crepuscular,Omnivore,Terrestrial,Altricial,Burrowing,Cosmopolitan,Cursorial,Zoochory,Fossorial,Natatorial,Territorial,Viviparous,Pack hunters,Predator,Polygynandry,Social,Dominance hierarchy,Colonial,Not a migrant,starts with,Smart Animals"
Florida panther,Feliformia,Felidae,Cougar,Animalia,Chordata,Vertebrata,Carnivora,"Carnivore,Solitary,starts with"
African Buffalo,Syncerus,Syncerus caffer,Animalia,Vertebrata,Mammalia,Artiodactyla,Bovidae,"Nocturnal,Diurnal,Herbivore,Graminivore,Folivore,Terrestrial,Cursorial,Precocial,Grazing,Viviparous,Polygynandry,Dangerous,Social,Herding,Dominance hierarchy,Not a migrant,starts with,Dangerous Animals"
Rusty-Spotted Cat,Prionailurus,Prionailurus rubiginosus,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Crepuscular,Carnivore,Terrestrial,Arboreal,Ambush predator,Precocial,Zoochory,Territorial,Viviparous,Polygyny,Solitary,Not a migrant,starts with"
Dhole,Cuon,Cuon alpinus,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Diurnal,Omnivore,Predator,Mesopredator,Hypercarnivore,Terrestrial,Burrowing,Pursuit predator,Pack hunters,Cursorial,Altricial,Viviparous,Territorial,Nomadic,Mesopredator,Pack hunters,Monogamy,Dominance hierarchy,Highly social,Not a migrant,starts with"
Clouded Leopard,Neofelis,Neofelis nebulosa,Animalia,Vertebrata,Mammalia,Carnivora,Felidae,"Nocturnal,Crepuscular,Carnivore,Arboreal,Cursorial,Predator,Altricial,Scansorial,Terrestrial,Territorial,Congregatory,Viviparous,Polygyny,Solitary,Not a migrant,starts with"
Northern white rhinoceros,Perissodactyla,Rhinocerotidae,White Rhinoceros,Animalia,Chordata,Vertebrata,Mammalia,"Terrestrial,starts with"
Maned Wolf,Chrysocyon,Chrysocyon brachyurus,Animalia,Vertebrata,Mammalia,Carnivora,Canidae,"Nocturnal,Crepuscular,Omnivore,Terrestrial,Cursorial,Altricial,Predator,Territorial,Viviparous,Monogamy,Solitary,Not a migrant,starts with"
